id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
UgzFEsOwrr5xEBPD5IN4AaABAg.A1HheEp856BA68op41WmJu,,0,"2024-07-21 07:42:14",@ARFFFCAL,"Caranya gimana​@KNKPTR",1,UgzFEsOwrr5xEBPD5IN4AaABAg,@DikaRamadhan-mu5yi
UgwVpHRzLCaZDKu6Ssx4AaABAg,0,0,"2024-03-22 07:50:28",@fdlnz19,"Bang kalo cara nya dipake sekarang kena sesi ga",0,,
UgynQSUdCmLpcP4Ux554AaABAg,1,1,"2024-03-20 14:02:48",@AkunSaya-z3e,"Gimana klo di suruh nunggu beberapa saat karma lokasi baru gimana bg?",0,,
UgynQSUdCmLpcP4Ux554AaABAg.A1CmaqaIvHsA3KcG_yYB7z,,0,"2024-05-12 08:09:14",@Reyajah,"Kita sama",1,UgynQSUdCmLpcP4Ux554AaABAg,@AkunSaya-z3e
UgyRzzkiG8EQeSLOrH54AaABAg,0,1,"2024-03-17 10:42:02",@Taufikk25,"Kl a2f ny bug gmn?",0,,
UgwDrPLdD9cIpUFrBYJ4AaABAg,0,1,"2024-03-17 07:48:20",@Dannshshsh,"Yang teks itu bisa pake nomer wa kah bg?",0,,
UgyqveeunLPmuaGf35x4AaABAg,7,11,"2024-03-14 06:51:17",@nanikwahyuni7489,"Terimakasih bang.. saya trauma karena akun saya hilang tiba 2 dan sama sekali gak bisa di akses.. semoga sekarang bisa aman..",0,,
UgyqveeunLPmuaGf35x4AaABAg.A0xZS5KUnY8A12BkhGwaAD,,2,"2024-03-16 11:19:42",@TaniaIranadewi,"Sama bun, sekarangke 2 akun saya hilang padahal dollarnya sdh ada",1,UgyqveeunLPmuaGf35x4AaABAg,@nanikwahyuni7489
UgyqveeunLPmuaGf35x4AaABAg.A0xZS5KUnY8A6_iXrLGCWe,,0,"2024-08-01 03:46:03",@KandangKPR,"Alasannya knapa bg?​@TaniaIranadewi",1,UgyqveeunLPmuaGf35x4AaABAg,@nanikwahyuni7489
UgyqveeunLPmuaGf35x4AaABAg.A0xZS5KUnY8A9axZZ3PS3W,,0,"2024-10-15 04:50:47",@Azura_ruby,"​sellafuakalo boleh tau penyebabnya apa bisa di hack",1,UgyqveeunLPmuaGf35x4AaABAg,@nanikwahyuni7489
UgyqveeunLPmuaGf35x4AaABAg.A0xZS5KUnY8AG829Xd_9gk,,0,"2025-03-26 13:42:11",@RyantiAna-ms2xh,"Dihack terus buat nipu,soalnya fbku gitu tiba tiba gak bisa diakses ,eh malah buat nipu teman temanku dengan total 60 jt lbh​@Azura_ruby",1,UgyqveeunLPmuaGf35x4AaABAg,@nanikwahyuni7489
UgyqveeunLPmuaGf35x4AaABAg.A0xZS5KUnY8AGAdOZbRBdS,,0,"2025-03-27 13:54:46",@UmrBla,"Sm bun .jengkel rasanya .​@TaniaIranadewi",1,UgyqveeunLPmuaGf35x4AaABAg,@nanikwahyuni7489
UgyqveeunLPmuaGf35x4AaABAg.A0xZS5KUnY8AGEQDsZMrjR,,0,"2025-03-29 01:07:56",@RehanErlangga-y4c,"Sama ni",1,UgyqveeunLPmuaGf35x4AaABAg,@nanikwahyuni7489
