id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
UgzoDhdNbMMfpS8fKcJ4AaABAg,0,0,"2025-06-24 11:49:25",@RudiKurniawan-p2r9o,"Kalau HP ku minta kirim kode",0,,
UgzjlHHXHQl2QxIb0_Z4AaABAg,2,0,"2025-05-30 16:45:06",@alecxvanka176channel,"Assalamualaikum bg klau no watshapp saya di ambil org TPI gak bisa timbul kode otp atau verifikasi nya bg cara nya gi mana",0,,
UgzjlHHXHQl2QxIb0_Z4AaABAg.AIkjl5XtdGPAJ841LtBgo5,,0,"2025-06-09 03:32:44",@hendriksupriadi5397,"Saya juga sama bgtu",1,UgzjlHHXHQl2QxIb0_Z4AaABAg,@alecxvanka176channel
UgzjlHHXHQl2QxIb0_Z4AaABAg.AIkjl5XtdGPAJ89COwuP3u,,0,"2025-06-09 04:17:56",@alecxvanka176channel,"Itu la bg ​@hendriksupriadi5397",1,UgzjlHHXHQl2QxIb0_Z4AaABAg,@alecxvanka176channel
UgzweebDg5H8RSYK0Kd4AaABAg,0,0,"2025-05-30 02:13:19",@cinta-s7t,"Jika nomor sudah tidak aktif lagi gmn caranya sementara orang lain sudah sadap",0,,
Ugzkg0_nhKRAc7ewQXl4AaABAg,0,0,"2025-05-22 13:15:28",@ramadhanputar9562,"Klok kartunya udh gk ada bg kayak mna caranya",0,,
UgymiKHE6lEeHWAiSO14AaABAg,0,0,"2025-05-08 08:38:00",@sitihayati6470,"Tapi aku udh buat kek gitu masih log out sendiri gmn solusinya ya sampe grup ku juga udh left sendiri",0,,
UgzR8QFklsgyGtXaldZ4AaABAg,1,1,"2025-04-26 12:18:25",@DaNasroel,"Mksih bg bermanfaat🎉🎉",0,,
UgzR8QFklsgyGtXaldZ4AaABAg.AHNiD0NdrG8AHNlMf7LBBT,,0,"2025-04-26 12:45:56",@makinVIRAL,"Sama-sama ya terimakasih",1,UgzR8QFklsgyGtXaldZ4AaABAg,@DaNasroel
UgxSD7oJWBmMFmCjhOV4AaABAg,0,4,"2025-04-21 22:26:54",@alanalok4972,"bang kok akun WhatsApp saya kan muncul anda telah keluar setap saya mau login pas saya mau login lagi malah nggak bisa pas login dapat kode verifikasi terverifikasi terus lanjutkan pas menginisialisasi malah akun anda tidak bisa digunakan lagi karna sepam setelah banned nya terbuka saya login WhatsApp lagi setelah menginisialisasi malah anda telah keluar lagi saya login lagi malah ke banned lagi pusing saya",0,,
UgzHokOx7Hx9reVtH6V4AaABAg,0,0,"2025-04-05 13:25:19",@NabilPratama-i1v,"Tapi kalok no nya GK kita pakek lagi gimana",0,,
UgxNymDoNL4ZHfrU7X14AaABAg,0,0,"2025-03-16 15:18:39",@NuriWinda,"Kalo kartu sim udah ilang gimna bang loginya? Otp kan gabisa masuk ke nomer",0,,
UgyiiV1xk584JsrRrL14AaABAg,1,0,"2025-03-15 11:35:28",@OchaAncah-eq7sn,"Ini yg aku alami brusan ...trus aq lngsung msuk kmbli",0,,
UgyiiV1xk584JsrRrL14AaABAg.AFgUuoucP6kAGSMpyFoeeD,,0,"2025-04-03 11:07:42",@istisani7457,"Berarti klo sdah bisa masuk kembali wa kita sdah aman kh ? Soalnya aku baru aja ngalamin, dan sdah bisa masuk kembali, tpi masih ragu apakah masih aman atau tidak mnggunakn akun wa yg ini ?",1,UgyiiV1xk584JsrRrL14AaABAg,@OchaAncah-eq7sn
Ugyh3Zs51bs4rw_3Z3x4AaABAg,1,0,"2025-03-08 11:46:07",@dindaamelia5708,"Kode nya masuk ke HP orang yg nge hack",0,,
Ugyh3Zs51bs4rw_3Z3x4AaABAg.AFPUZhHdfWMAGNEbQjQvBI,,0,"2025-04-01 11:19:36",@ndinn_4yOu,"iyaa itu gimana ya caranya",1,Ugyh3Zs51bs4rw_3Z3x4AaABAg,@dindaamelia5708
UgxsmBIuqIXfzE0cRbB4AaABAg,0,0,"2025-03-04 09:40:39",@Lyona11-z7u,"Bang, saya udh ke hack beberapa kli tpi sms kode ny blm muncul, sebenerny sdh muncul tpi anehny saya udh coba kode ny, tpi g bsa, oadahal itu bru kyk 2 atau 3 mnt lalu, itu gmn ya?",0,,
UgyyFI72WOpkLqFP8S94AaABAg,1,0,"2025-02-23 01:16:39",@rakadika-or2sd,"Tapi yang gue bang harus adas konfirmasi dari perangkat yang nge hack",0,,
UgyyFI72WOpkLqFP8S94AaABAg.AErtBxi8on8ATwxp3AtbxD,,0,"2026-03-04 20:24:12",@Lailatulmutmainna18,Btul,1,UgyyFI72WOpkLqFP8S94AaABAg,@rakadika-or2sd
UgxE9hR-htEAjBJvWvB4AaABAg,0,0,"2025-02-18 08:35:25",@arief840,"kalau tidak muncul kode bang",0,,
UgwZgNTaKRW2cLDqJ2J4AaABAg,0,0,"2025-02-13 13:37:30",@yulioppobr2048,"Itu no yg d tulis no kita yg hilang apa masukin no baru",0,,
UgwlTymjfrVXgLKgn8x4AaABAg,0,0,"2025-02-13 09:07:33",@nzmszn,"Kalo terkirim nomer otp ke nomor lama bukannya malah memvalidasi wa yag udh di hack bang?",0,,
UgyCvf2wTgH-mYuoBGB4AaABAg,3,0,"2025-02-12 21:22:35",@TikaanggrainiAnggraini-ud2kn,"Alhamdulilah akun ku berhasil kukembilakn tapi aku masukan dengan no lain jadi bisa dipulihkan lagi",0,,
UgyCvf2wTgH-mYuoBGB4AaABAg.AESiSqX-ItIAF41HRUnC4Z,,0,"2025-02-28 03:46:10",@HanyAraafiFamily,"no udah ga aktif tapi wa masih aktif dan tiba2 logout,, ternyata sudah di pake di perangkat lain, solusinya gmana kk kalau mau mengembalikan no kita apakah tanpa kode otp bisa?",1,UgyCvf2wTgH-mYuoBGB4AaABAg,@TikaanggrainiAnggraini-ud2kn
UgyCvf2wTgH-mYuoBGB4AaABAg.AESiSqX-ItIAFZOvmuW8Id,,0,"2025-03-12 08:09:15",@nanaabiwwijaya6557,"Ini saya lgi kena ni dri jam 13:55 saya malah gak dapat nomor viripikasi .malah suruh nunggu 12 jam untuk memulihkan",1,UgyCvf2wTgH-mYuoBGB4AaABAg,@TikaanggrainiAnggraini-ud2kn
UgyCvf2wTgH-mYuoBGB4AaABAg.AESiSqX-ItIAL-jVFtczLQ,,0,"2025-07-25 14:53:26",@ekanurrahmadani7467,"​@HanyAraafiFamilysama bang ini gimana ya solusinya",1,UgyCvf2wTgH-mYuoBGB4AaABAg,@TikaanggrainiAnggraini-ud2kn
UgxTJJLJuORGdrluuv54AaABAg,0,1,"2025-02-12 09:26:13",@Khanisya-e1y,"Bang lw nomor verifikasi wa kita di ketahui penipu trus kita masi bisa masuk melalui verifikasi melalui gmail apa penipu masi bisa mengakses wa kita",0,,
Ugy4mGfri8Z7I7IDC_94AaABAg,0,0,"2025-02-07 07:35:29",@Bocil_pepengshot_indo66,"kalo saya harus minta kode dari hp orang yg hack",0,,
UgyGo6WbDKk3yKNcDO94AaABAg,0,0,"2025-02-05 02:42:02",@ronaldekasaputra9025,"Mas, punya saya kok gak bisa dikembalikan, semalam di hack orang bang.",0,,
UgwRyEiXsPhfibf5All4AaABAg,1,1,"2025-01-30 08:02:32",@tulangpunggungkayaraya,"Bissmilah semoga di bales kak no wa bapa ku tuh di hack terus aku laporkan dengan niat supaya akunya tidak bisa di pake, terus aku mau coba cara ini tapi ada tulisan ""nomor tidak bisa digunakan karena spam"" kurang lebih seperti itu tapi pas aku lihat di hp ku gambarnya udah ganti + terakhir dilihat beberapa jam yang lalu itu bagaimana yah?",0,,
