comment_id,author,text,likes,replies,published_at,is_reply
UgxgNblvwk713yT6HcF4AaABAg,@pakdesaidchannel9464,"Pernah aku ke tipu 61 juta, tapi aku males lapor mas .",0,0,2026-01-03T16:21:57Z,False
Ugw9kJNHNKG_b1OysWN4AaABAg,@SteviAriana,Sekarang bisa lapor sama patroli cyber .,0,0,2026-01-03T01:08:53Z,False
Ugy8sc48K0KdFLPT8sJ4AaABAg,@SteviAriana,"Aku pernah mengalami hal yg sama mas , 1 JT di rek ku bablas , betapa bodoh nya aku 😵‍💫🫣",0,0,2026-01-03T01:07:22Z,False
Ugzd0yBZ6mkbrxVHg694AaABAg,@MuhammadDani-z1c,𝘗𝘢𝘯𝘫𝘢𝘯𝘨 𝘹 𝘭𝘦𝘣𝘢𝘳 𝘮𝘰𝘯𝘤𝘰𝘯𝘨 𝘬𝘢𝘶 𝘣𝘰𝘥𝘢𝘵.!! 𝘗𝘦𝘳𝘴𝘪𝘴 𝘤𝘭𝘰𝘴𝘦𝘥.,0,0,2025-12-31T20:03:54Z,False
UgyuGCdBCN1wLvSFcrh4AaABAg,@MochtarKharie,"Saya heran ni si ikbal seorg mahasiswa kok bisa di tipu sih,.",0,0,2025-12-30T17:03:30Z,False
UgxGNaQOP7Jj-JJSbl14AaABAg,@agusprayitno8642,IKBAL JAGO NGOMONG.tapi penuh napsu. MAKA HATI DAN PIKIRAN HRS DI KEDEPANKAN,0,0,2025-12-27T08:18:53Z,False
UgxleGP3RbDhI9aLhSV4AaABAg,@jayidzes-z3r,"12:54 Ya Jelas tidak percaya lah 😂, kok anda percaya sama kepolisian indonesia 😂 
Dari situ juga udah aneh 😂",0,0,2025-12-23T07:02:03Z,False
UgxKCkocW6CZ93Y7loZ4AaABAg,@rahmatamir185,"Sdh jls itu polisi gadungan, kelihatan dr seragamnya atribut dileher krah baju gak ada",0,0,2025-12-13T07:47:12Z,False
UgzNlCPTAvt3utm54LN4AaABAg,@onecruzen7807,"tetp di ingt orang yg terlibat sprti polisi atau pihak bank yg mmpersulit, tagih di akhirat",0,0,2025-12-04T05:02:22Z,False
Ugw1DNkf4q--agFxq214AaABAg,@onecruzen7807,"pernah kejadian sama tmanku, lapor polisi di oper2 wkwkw pdahal rumahnya kemalingan loh wkwkw , pda bisa kerja gk sih",0,0,2025-12-04T05:00:56Z,False
UgxKM6NzTftG8dkN9Al4AaABAg,@darismandaris1333,"intinya jangan muda percaya dgan orang nelpon,yang tidak kenal,",0,0,2025-11-26T13:27:42Z,False
UgwXxg1SmqtcoqBBdwt4AaABAg,@MujibMujib-c1x,"Q orng pling bodoh,TPI q ketipu dua kli stu kli lewat hp,70rb",0,0,2025-11-18T01:18:00Z,False
UgxNCJVA8H3ZuDrFtC54AaABAg,@Mekarberkembang,Kemarin pas pesen paket aku dapat juga wa katanya paket ku ketahan..dapat 2 pemberitahuan dr nomor yg berbeda..aku jwb..kok bs ada 2..mana yg menipu..😂😂 akhirnya 2 2 nya nggak lanjut,1,0,2025-11-16T07:40:40Z,False
UgwhKMJopp-HTllvw3V4AaABAg,@wahidin9809,kebanyakan ngeles,0,0,2025-11-10T08:42:19Z,False
UgxGWEhexlmtouAoI_N4AaABAg,@BIADAB-14-MEI-24-JOKO-BUAT-MBG,"JELAS BANGET
ITU SI PENIPU JAHANAM DARI TULUNG SELATAN OGAN KOMERING ILIR SUMSEL.",0,0,2025-11-09T14:53:46Z,False
UgyPZr4H6RMh0ZhtEdd4AaABAg,@prajuritterang1470,Aku kmrn d video call polres juga. Anehnya ketika video g aku lihatkan wajahku Sana juga mematikan video depan. Aku lihat awalnya emang seragam polisi dan background juga polres.... Langsung aku matikan. Trs SIM card aku patahkan..,0,0,2025-10-29T15:01:51Z,False
UgzNi9a6L0UNxNpZNoJ4AaABAg,@jayadjoerani2745,"Ini sih tergantung tingkat kecerdasan, orang pintar belum tentu cerdas. dan ini buktinya.",0,0,2025-10-20T22:31:00Z,False
UgyX5-GMLWx1F-69MCJ4AaABAg,@herlansuherlan5946,Menagih terlihat bidoh mudah kena tipu...,0,0,2025-10-15T09:44:02Z,False
Ugy4CSHcYry6hWA-Dux4AaABAg,@BurhanuddinUddin-ni5kg,"Saya kemarin di telpon dari kantor pos medan, tapi dia tau saya pernah tinggal di sidoarjo dan dia tau nomer KTP ku kata nya aku kirim paket dari medan ke sidoarjo padahal aku nggak pernah kirim apa apa dan aku sekarang tinggal di papua tapi aku tantang balik  kalau kamu mau lapor kan aku ke polisi lapor saja yg bikin saya heran dari mana dia tau nomer HP ku dan nomer KTP ku.",0,0,2025-10-13T21:23:23Z,False
UgzZf5Rc04Watg-Ep414AaABAg,@SusilawatiHambali,Bajingan penipu kalau kena mesti di dibikin babak sehancur hancurnya,0,0,2025-10-06T18:26:17Z,False
UgxmXekJHtage4YffdN4AaABAg,@NurBaiti-ev7fi,Smga allah gnti berjuta2 duit mu nk dn yng mnpu di tangkap pihak berwajib,0,0,2025-10-01T12:21:51Z,False
UgyRQ7Oj7YpFOSfYzRx4AaABAg,@vincentBongVincent,"Anjing ribet nya di Konoha ini,maka nya banyak penipuan",0,0,2025-09-29T06:04:41Z,False
UgxJsznWJGl7misZyMh4AaABAg,@MingguCeria-b7m,"Kalau berurusan dgn polisi serba ribet, padahal sdh ada nomer rekening, tapi ttp di buat ribet😢",0,0,2025-08-30T12:00:15Z,False
Ugwkgpngu4DS3RSFSrF4AaABAg,@susisuhartinah4380,"Pernah ngalami mas ,dia da paket dr luar negeri dan saya harus kirim 2 jt aq bilang lg kerja ,soalnya tu paket sdh ada bea cukai dan klw tdk segera d ambil nanti urusan sama polisi  indonesia ,aq tetap ga percaya ,aq pura2 kirim  duit  aq cuma kirim 50 rb saja,dan anehnya nama yg nerima duit itu taufik ,katanya dr luar negeri dr situ aq sdh curiga,y udah aq kerjain balik lah ,pura2 nya aq bilang sdh ada kantor JNE ,nach tlpn ku d berikan ke cwek nich intinya gw hrs ambil  tu barang ...ktnya isi barang itu duit dolar . .gw bilang saja y udah buat lw ..klw ga gini saja kita ketemu d kantor JNE...dia ga berani tuch ....mana ada org bule  namanya taufik ...",0,0,2025-08-27T12:42:51Z,False
